stage_id,title,year,venue,doi,arxiv_id,openalex_id,provisional_class,status,pdf_path,txt_path,chars,source_url,method,note
S0499,Typhoon Disaster Knowledge Service Driven by Large Language Models: Key Technologies and Applications | 大语言模型驱动的台风灾害知识服务:关键技术与应用,2025,"Journal of Geo Information Science , 27(6)",,,,INCLUDE_partial_AC,excluded_ft,,,0,,,E1 non-English (confirmed at full text)
S0575,Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,2025,,10.4995/carma2025.2025.20436,,W7147025616,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0575.txt,23521,https://ocs.editorial.upv.es/index.php/CARMA/CARMA2025/paper/download/20436/10889,openalex,openalex | chars=8263
S0577,Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization,2025,Universal Library of Innovative Research and Studies,10.70315/uloap.ulirs.2025.0204012,,W4417148128,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0577.txt,33657,https://doi.org/10.70315/uloap.ulirs.2025.0204012,openalex,openalex | chars=15536
S0581,Translating Under Pressure: Domain-Aware LLMs for Crisis Communication,2026,arXiv (Cornell University),10.48550/arxiv.2604.26597,,W7158640018,INCLUDE_partial_AC,html_ok,,,2681,https://doi.org/10.48550/arxiv.2604.26597,oa_html,
S0582,Pocket RAG: On-Device RAG for First Aid Guidance in Offline Mobile Environment,2026,arXiv (Cornell University),10.48550/arxiv.2602.13229,,W7129328134,INCLUDE_full_ABC,html_ok,,,2643,https://doi.org/10.48550/arxiv.2602.13229,oa_html,
S0583,Digital Sovereignty Beyond the Cloud: An Edge AI Framework for Small Island Developing States,2026,,10.1109/icaiset66439.2026.11542056,,W7163221175,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0583.txt,40998,,nan+manual_drop,no OA full text -> institutional retrieval
S0584,Offline Emergency Alerts Using Compressed Broadcast Codes and On-Device AI,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21357525,,W7168289904,INCLUDE_partial_AC,excluded_ft,,,0,,,E2 not a research document (software report) (confirmed at full text)
S0585,Resilient Edge Intelligence: Integrating Swarm Logic with Lightweight Agents and Localised SLMs,2026,,10.1109/icaiset66439.2026.11541396,,W7163134772,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0585.txt,37267,,nan+manual_drop,no OA full text -> institutional retrieval
S0605,FirstAidQA: A Synthetic Dataset for First Aid and Emergency Response in Low-Connectivity Settings,2025,arXiv (Cornell University),10.48550/arxiv.2511.01289,,W4416435594,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0605.txt,21227,https://arxiv.org/pdf/2511.01289,openalex,openalex | chars=10327
S0610,EmoMAS: Emotion-Aware Multi-Agent System for High-Stakes Edge-Deployable Negotiation with Bayesian Orchestration,2026,arXiv (Cornell University),10.48550/arxiv.2604.07003,,W7152633449,INCLUDE_full_ABC,html_ok,,,3571,https://doi.org/10.48550/arxiv.2604.07003,oa_html,
S0616,DeEscalWild: A Real-World Benchmark for Automated De-Escalation Training with SLMs,2026,Harvard Dataverse,10.7910/dvn/cwmczi,,W7159649894,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0616.txt,184930,https://arxiv.org/pdf/2604.13075,openalex_title_search,no OA full text -> institutional retrieval
S0692,A Lightweight LLM Framework for Disaster Humanitarian Information Classification,2026,arXiv (Cornell University),10.48550/arxiv.2602.12284,,W7129009206,INCLUDE_partial_AC,html_ok,,,3039,https://doi.org/10.48550/arxiv.2602.12284,oa_html,
S0717,DamageScope: Vision-Language Retrieval at Scale for Disaster Damage Assessment from Satellite Imagery,2026,arXiv (Cornell University),10.48550/arxiv.2608.21529,,W7204208046,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0717.txt,44728,https://arxiv.org/pdf/2608.21529,openalex,openalex | chars=13016
S0722,Localized Cebuano-English DRRM Chatbot via Retrieval-Augmented Generation and Large Language Models,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21158345,,W7167267911,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0722.txt,18903,,nan+manual_drop,no OA full text -> institutional retrieval
S0743,Optimizing Emergency Decision-Making for Natural Disaster Using Light Retrieval Augmented Generation,2025,,10.1109/icaace65325.2025.11019353,,W4411143571,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0743.txt,23006,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S0765,A Retrieval-Augmented Generation (RAG) framework for emergency management of hydrogen leakage and explosions,2026,Energy and Safety Science,10.1016/j.ess.2026.100008,,W7167510753,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0765.txt,68915,,nan+manual_drop,no OA full text -> institutional retrieval
S0777,Improved Flood Management and Risk Communication Through LLM,2026,,10.1109/iciprob69625.2026.11497793,,W7160331471,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0777.txt,27159,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S0799,TriageSim: An Agentic Multi-Agent Framework for Safety-Critical Evaluation of LLM Clinical Reasoning in Elderly Fall Triage,2026,KTH Publication Database DiVA (KTH Royal Institute of Technology),,,W7166914705,INCLUDE_partial_BC_PENDING,not_retrieved,,,0,,,no accessible full text (closed / institutional only)
S0928,RAG Ukraine War,2025,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.17434076,,W7105223810,INCLUDE_full_ABC,not_retrieved,,,0,,,no accessible full text (closed / institutional only)
S1209,Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,2025,,10.1145/3764925.3770907,,W4416922121,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1209.txt,10814,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S1211,Socio-technical regional disaster recovery modeling using generative LLM-based agents,2026,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2026.106205,,W7162786543,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1211.txt,74409,,nan+manual_drop,no OA full text -> institutional retrieval
S1214,AI-Enhanced Rescue Drone with Multi-Modal Vision and Cognitive Agentic Architecture,2025,AI,10.3390/ai6100272,,W4415370613,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1214.txt,97676,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S1258,From Data to Decisions: An AI Situation Room for Crisis and Disaster Management,2026,,10.5194/egusphere-egu26-5845,,W7135168263,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1258.txt,120369,https://ij-healthgeographics.biomedcentral.com/counter/pdf/10.1186/1476-072X-10-67,openalex_title_search,no OA full text -> institutional retrieval
S1275,An Agentic AI Framework for Dynamic Data Fusion in Flood Forecasting,2026,,10.1109/iitcee67948.2026.11394670,,W7131392426,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1275.txt,37465,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S1299,"GANDR - Georelating Dataset, Metrics, and Evaluation",2025,,10.1145/3764912.3770819,,W7116044803,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1299.txt,64778,,nan+manual_drop,no OA full text -> institutional retrieval
S1332,Proactive decision-making agent for industrial leakage and explosion emergencies powered by Physics_GNN and LLM,2026,Journal of Loss Prevention in the Process Industries,10.1016/j.jlp.2026.105976,,W7131086595,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1332.txt,67244,,nan+manual_drop,no OA full text -> institutional retrieval
S1348,LLM-Guided Multi-Agent Evacuation Coordination via Episodic Memory and Cognitive Task Analysis,2026,,10.65109/seyr5220,,W7162257676,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1348.txt,20232,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S1373,Guidance Strategies for Online Public Opinion in Emergencies Based on LLM- enhanced Multi-agent Simulation: A Case Study of the Pangdonglai Steamed Cold Noodle Event,2026,,10.13140/rg.2.2.28175.34727,,W7164161531,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1373.txt,34774,,nan+manual_drop,no OA full text -> institutional retrieval
S1411,Entropy-Constrained Strategy Optimization in Urban Floods: A Multi-Agent Framework with LLM and Knowledge Graph Integration,2025,arXiv (Cornell University),10.48550/arxiv.2508.14654,,W4415240578,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1411.txt,47829,https://arxiv.org/pdf/2508.14654,openalex,openalex | chars=9618
S1425,"KumbhDoot: A Scale-Ready, LLM-Bounded Architecture for Mass-Gathering Public-Service Assistants",2026,Preprints.org,10.20944/preprints202607.0852.v1,,W7169767528,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S1425.txt,38053,,nan+manual_drop,no OA full text -> institutional retrieval
S1436,Self-calibrating generative agents,2026,DR-NTU (Nanyang Technological University),,,W7140355610,INCLUDE_partial_BC_PENDING,not_retrieved,,,0,,,no accessible full text (closed / institutional only)
S1492,Chiyoda: Entropy-Guided Information Control for Hazard-Coupled Pedestrian Evacuation,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19905069,,W7159622006,INCLUDE_partial_AC,html_ok,,,2549,https://doi.org/10.5281/zenodo.19905069,oa_html,
S2418,VOICE OVER LORA,2025,Nazarbayev University Repository (Nazarbayev University),,,W7198187786,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S2418.txt,31217,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S2427,Chat with point: LLM-driven visual question answering for InSAR-based disaster management,2026,University of Twente Research Information,,,W7165990490,INCLUDE_partial_AC,not_retrieved,,,0,,,no accessible full text (closed / institutional only)
S2546,CASE: structured collaboration of agents for problem solving in real-world scenarios,2026,,10.1117/12.3108974,,W7161006525,INCLUDE_partial_BC_PENDING,not_retrieved,,,0,https://arxiv.org/pdf/1912.04977,openalex_title_search,wrong document retrieved (0.00 title overlap); correct paper not obtained
S2632,Graph-Grounded LLMs: Leveraging Graphical Function Calling to Minimize LLM Hallucinations,2025,arXiv (Cornell University),10.48550/arxiv.2503.10941,,W4417281648,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S2632.txt,45599,https://arxiv.org/pdf/2503.10941,openalex,openalex | chars=16549
S3110,RAPTOR-AI for Disaster OODA Loop: Hierarchical Multimodal RAG with Experience-Driven Agentic Decision-Making,2026,arXiv,,2602.00030v2,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S3110.txt,35874,https://arxiv.org/pdf/2602.00030v2,arxiv,arxiv | chars=14927
S3347,Disaster Question Answering with LoRA Efficiency and Accurate End Position,2026,arXiv,,2602.21212v1,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S3347.txt,50334,https://arxiv.org/pdf/2602.21212v1,arxiv,arxiv | chars=15186
S3496,SafeMate: A Modular RAG-Based Agent for Context-Aware Emergency Guidance,2025,arXiv,,2505.02306v4,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S3496.txt,43695,https://arxiv.org/pdf/2505.02306v4,arxiv,arxiv | chars=11490
S3510,A Systems Engineering Framework for Vision-Language-Enabled UAV Triage and Disaster Response,2026,"AIAA AVIATION 2026 Forum, AIAA Paper 2026-4010, 2026",,2607.27597v1,,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S3510.txt,36302,https://arxiv.org/pdf/2607.27597v1,arxiv,arxiv | chars=11539
S4013,OpenEarthAgent: A Unified Framework for Tool-Augmented Geospatial Agents,2026,arXiv,,2602.17665v4,,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S4013.txt,110666,https://arxiv.org/pdf/2602.17665v4,arxiv,arxiv | chars=10210
S4299,Beyond detection: cooperative multi-agent reasoning for rapid onboard EO crisis response,2026,arXiv,,2603.19858v1,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S4299.txt,55170,https://arxiv.org/pdf/2603.19858v1,arxiv,arxiv | chars=11839
S5086,CoMIX: A Multi-agent Reinforcement Learning Training Architecture for Efficient Decentralized Coordination and Independent Decision-Making,2023,arXiv,,2308.10721v3,,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S5086.txt,54827,https://arxiv.org/pdf/2308.10721v3,arxiv,arxiv | chars=12877
S6072,Multilingual Agent System for Inclusive Wildfire Evacuation Guidance,2026,arXiv,,2609.03301v1,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S6072.txt,19917,https://arxiv.org/pdf/2609.03301v1,arxiv,arxiv | chars=13683
S11495,"""Actionable Help"" in Crises: A Novel Dataset and Resource-Efficient Models for Identifying Request and Offer Social Media Posts",2025,arXiv,,2502.16839v1,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S11495.txt,46183,https://arxiv.org/pdf/2502.16839v1,arxiv,arxiv | chars=16326
S11694,Building Resource-Constrained Language Agents: A Korean Case Study on Chemical Toxicity Information,2025,arXiv,,2503.17753v3,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S11694.txt,123468,https://arxiv.org/pdf/2503.17753v3,arxiv,arxiv | chars=13107
